# Index		Plot Coordinate		Eigenvector Energy


         7   4.000000      0.14661709964275360     
 
 
         101  -4.000000      0.14661720395088196     
         101   4.000000      0.14661720395088196     
 
 
         102  -4.000000      0.14676012098789215     
         102   4.000000      0.14676012098789215     
 
 
         103  -4.000000      0.14679932594299316     
         103   4.000000      0.14679932594299316     
 
 
         104  -4.000000      0.14724171161651611     
         104   4.000000      0.14724171161651611     
 
 
         105  -4.000000      0.14728567004203796     
         105   4.000000      0.14728567004203796     
 
 
         106  -4.000000      0.14742209017276764     
         106   4.000000      0.14742209017276764     
 
 
         107  -4.000000      0.14751538634300232     
         107   4.000000      0.14751538634300232     
 
 
         108  -4.000000      0.14752256870269775     
         108   4.000000      0.14752256870269775     
 
 
         109  -4.000000      0.147525355219847     
         109   4.000000      0.147525355219847     
 
 
         110  -4.000000      0.148003399372783     
         110   4.000000      0.148003399372783     
 
 
         111  -4.000000      0.148003399372783     
         111   4.000000      0.148003399372783     
 
 
         112  -4.000000      0.14820981025695801     
         112   4.000000      0.14820981025695801     
 
 
         113  -4.000000      0.14822429418563843     
         113   4.000000      0.14822429418563843     
 
 
         114  -4.000000      0.14832630753517151     
         114   4.000000      0.14832630753517151     
 
 
         115  -4.000000      0.14843553304672241     
         115   4.000000      0.14843553304672241     
 
 
         116  -4.000000      0.14848190546035767     
         116   4.000000      0.14848190546035767     
 
 
         117  -4.000000      0.14886970818042755     
         117   4.000000      0.14886970818042755     
 
 
         118  -4.000000      0.14887216687202454     
         118   4.000000      0.14887216687202454     
 
 
         119  -4.000000      0.14929401874542236     
         119   4.000000      0.14929401874542236     
 
 
         120  -4.000000      0.14933227002620697     
         120   4.000000      0.14933227002620697     
 
 
         121  -4.000000      0.14941114187240601     
         121   4.000000      0.14941114187240601     
 
 
         122  -4.000000      0.14941114187240601     
         122   4.000000      0.14941114187240601     
 
 
         123  -4.000000      0.14959502220153809     
         123   4.000000      0.14959502220153809     
 
 
         124  -4.000000      0.14972056448459625     
         124   4.000000      0.14972056448459625     
 
 
         125  -4.000000      0.14977656304836273     
         125   4.000000      0.14977656304836273     
 
 
         126  -4.000000      0.14979900419712067     
         126   4.000000      0.14979900419712067     
 
 
         127  -4.000000      0.150245725978088     
         127   4.000000      0.150245725978088     
 
 
         128  -4.000000      0.15024624764919281     
         128   4.000000      0.15024624764919281     
 
 
         129  -4.000000      0.15029327571392059     
         129   4.000000      0.15029327571392059     
 
 
         130  -4.000000      0.15038496255874634     
         130   4.000000      0.15038496255874634     
 
 
         131  -4.000000      0.15069063007831573     
         131   4.000000      0.15069063007831573     
 
 
         132  -4.000000      0.15075586736202240     
         132   4.000000      0.15075586736202240     
 
 
         133  -4.000000      0.15083868801593781     
         133   4.000000      0.15083868801593781     
 
 
         134  -4.000000      0.15083879232406616     
         134   4.000000      0.15083879232406616     
 
 
